4336,2
25,0
4122,2
211,1
2417,1
2808,0
4452,1
2072,2
2019,1
2474,2
4695,1
2906,1
3378,1
201,2
4225,1
4634,1
2629,1
2830,1
2099,2
3215,1
4515,1
4523,0
1920,1
950,2
230,1
395,0
1304,2
3740,2
3533,2
402,1
3423,2
3003,1
3662,2
1985,1
444,1
742,1
724,1
606,1
3947,1
137,1
1561,1
3617,1
2163,1
1382,2
1540,1
3741,2
2043,0
1687,1
2257,1
3631,1
1083,1
2567,0
1436,1
3291,0
3210,2
4181,2
1533,2
3102,1
4483,1
3786,0
763,1
3648,1
3845,0
567,2
290,1
1354,1
2056,2
3535,1
1072,0
2858,2
617,0
541,2
194,2
499,1
939,1
2105,1
2974,1
3033,2
4250,1
1147,1
1501,2
4143,1
581,0
4448,1
398,1
2540,1
1546,2
1703,1
408,1
702,2
2068,2
1685,1
4153,2
3550,1
3782,1
4073,1
2765,1
4654,2
1393,0
4761,2
2182,2
1988,1
1756,1
1006,1
3732,1
3574,2
1609,1
4560,1
3401,1
1864,2
2231,1
560,1
77,1
2827,0
446,1
3381,1
4545,1
268,0
1202,1
1014,1
2820,0
2608,0
3710,1
2841,2
319,2
72,0
1953,1
1729,2
3435,1
1171,1
1413,1
3653,1
2916,2
4817,2
4438,1
169,1
1492,1
3965,1
3292,2
634,1
1327,1
2117,2
2461,2
4396,0
926,0
328,1
3485,2
636,0
4043,2
3869,0
3643,2
4095,2
4230,1
3906,2
3955,1
604,1
1672,1
4377,1
3360,1
4053,1
4462,1
4703,1
2762,1
4676,1
4078,1
28,1
3019,1
3250,1
3552,0
2329,1
2506,0
2386,1
2269,0
4400,1
3843,1
2992,2
1156,2
1106,1
491,1
2504,2
3783,1
2160,1
1066,1
1109,1
501,0
2766,2
4435,2
1137,2
925,1
4678,2
4161,2
1244,1
1791,1
2319,1
1539,2
1248,1
3519,2
70,1
2537,1
3892,2
3656,2
883,2
3881,0
3293,2
986,1
4770,1
2460,2
2586,1
1942,2
3355,1
609,1
2852,2
2645,1
547,1
3411,2
1978,1
1052,1
1652,1
2510,0
366,2
902,1
799,1
1983,1
1078,1
141,0
2240,1
375,2
836,2
3909,2
520,1
435,0
4128,2
2863,1
592,2
1221,1
250,1
4712,1
1286,1
534,1
2603,1
228,1
4014,1
735,1
4721,2
3006,2
391,2
4131,1
3901,1
820,1
2856,2
525,1
2658,1
3997,2
995,1
2750,2
4262,2
4151,1
4788,2
2486,0
156,1
1403,2
3514,1
4793,1
2733,1
4801,2
1032,1
989,1
3421,2
344,2
2875,2
337,1
2457,1
